108443, 30505
-176394, -88197
68508, 34254
51909, 26233
12402, 0
-90788, 0
-268931, -13239
287198, -30059
-58392, -29196
81810, 9133
2155, 40905
-110098, -29196
85026, 29447
-50190, -36554
-401766, -42513
418235, 25653
1571, 0
-102894, -42427
81945, 40972
-72337, -45857
-36097, -40973
74011, 23761
-349815, -37005
248814, -31544
82675, 27843
-60173, -30087
-47919, 0
118627, 41338
-41371, -15418
-110420, -23960
-258088, -16582
277916, -45296
-42934, -21467
87598, 9914
-26652, 30473
-94468, -21467
81399, 23939
-54441, -33755
-398288, -40700
429038, 28854
-7472, -3736
-91831, -34276
75709, 37854
-62991, -39556
-48897, -37855
87202, 25512
-381621, -43601
269292, -37012
79171, 27022
-50249, -25125
-56726, 0
91481, 31839
-27388, -13694
-87266, -28363
-280505, -11587
303027, -32372
-420402, -151513
454240, 11261
-35599, 150633
-84934, -43348
86561, 43281
-399542, -43281
284540, -56687
86963, 29261
-8629, -4315
-96786, 0
60847, 21198
-34509, -35224
-58654, -30424
-264272, -16158
341265, 0
-103379, -42520
75946, 24780
-47810, 14068
-51476, -37973
-10797, -11670
78694, 0
-439563, -31136
424431, 26382
-55141, 4211
-58559, -56850
82395, 41197
-500, -250
-106626, -29279
72860, 24064
-392057, -53313
298377, -46840
69859, 24520
-8532, -4266
-88273, 0
74845, 23949
-59252, -36340
-43735, -37422
-265358, -14071
331373, 0
-117468, -47594
97304, 22925
-72629, 12338
-32992, -48652
81809, 36746
-6165, -3083
-468005, -16496
448715, 28177
-65016, -42153
-51913, -58464
84547, 42273
-10449, -5224
-102669, -25957
86017, 28723
-402431, -51334
297370, -52531
78789, 29873
-19406, -9703
-113327, 0
64243, 5149
-16944, -33014
-58654, -32121
-253953, -5678
333574, 0
-103679, -41356
82142, 29042
-62184, 9979
-45076, -41071
84649, 29766
-11880, -5940
-446199, -22538
431512, 29041
-56908, -35798
-58226, -57567
66343, 33172
10190, 0
-106379, -29113
83990, 27072
-397220, -48095
292046, -52587
73204, 26010
2550, 0
-101240, 0
75171, 24843
-53119, -38319
-71966, -37586
-250374, -24957
335135, 0
-92881, -40043
68777, 30329
-40612, 14082
-24468, -32540
47057, 23529
-6853, -3427
-433537, -12234
421576, 14122
-64156, -38059
-50881, -57518
85660, 42830
-13717, -6859
-98310, -25440
88346, 30989
-401397, -49155
52265, -174566
314149, 26682
-24647, -12324
-76579, 106462
74417, 37208
-60688, -31425
-60669, -37208
-245999, -23470
308938, 0
-67017, -32374
59311, 27617
-46330, 6490
-69761, -29655
81260, 12240
-13235, -6618
-507367, -34880
516977, 38817
-58460, -29230
-52589, -50719
83434, 41717
-9441, -4721
-104942, -26294
91207, 30129
-432967, -52471
313124, -59922
85310, 28337
-8229, -4114
-103345, 0
87044, 30390
-54033, -35167
-55274, -43522
-267074, -11132
346686, 0
-131909, -53785
97189, 22446
-51988, 22600
-43928, -47958
64087, 32044
5562, 0
-452306, -21964
433991, 25667
-74794, -43774
-36473, -55633
82217, 41108
-7486, -3743
-133262, -18236
112312, 26890
-405767, -66631
298316, -53725
51864, 28362
22939, 0
-112392, 0
96948, 29680
-127527, -44727
19966, -53780
-264874, -15290
324753, 0
-90622, -5388
83974, 26615
-68981, 7497
-45465, -41987
59747, 14637
12982, 0
-449296, -22732
426324, 24878
-52523, -31256
-48143, -50333
81998, 40999
-15493, -7747
-99156, -24071
89661, 28505
-414279, -49578
297279, -58500
81410, 27035
-10139, -5069
-91974, 0
74981, 27139
-54891, -35942
-51043, -37491
-263374, -15476
335024, 0
-98177, -38785
80936, 27204
-56164, 12386
-57697, -40468
86163, 26619
-7061, -3530
-455635, -28849
420817, 22142
-46886, -40852
-48379, -47632
81786, 40893
-7961, -3981
-101327, -24189
79389, 25943
-396959, -50663
261550, -67705
121085, 32533
-186022, -93011
65768, 32884
66012, 33421
-38433, -19216
-53398, 0
-269821, -12910
331968, 0
-85746, -38498
60855, 18628
-41401, 9727
-72107, -30428
103696, 25522
-25716, -12858
-429409, -36054
418533, 33552
-42242, -26559
-59509, -50875
81818, 40909
-10799, -5400
-91308, -29754
74392, 27051
-405183, -45654
297340, -53921
-16309, -24880
90500, 0
-95898, 0
68963, 23628
-40640, 11462
-57490, -34481
-263344, -14584
326167, 0
-117115, -55891
103963, 24836
-58492, 22735
-51727, -51981
85680, 39712
-18502, -9251
-455421, -25864
440420, 26089
-51565, -33283
-45774, -48670
74393, 37197
-22223, -11112
-84822, -22887
81867, 24608
-430428, -42411
319306, -55561
74254, 22499
3206, 0
-486996, 0
467468, 28966
-66373, -41347
-395722, -231048
405187, 202594
20609, 0
-109349, -39638
95042, 47521
-65009, -29353
-53882, -47521
87265, 31708
-361110, -43633
232404, -47661
102726, 30642
